"kdbranch","deskripsikatogori","net","margin"
KZ01,LIPS,8076456.82,2108492.92
KZ01,OTHERS INSECTICIDES,7731163.44,2427652.95
KZ01,ENERGY DRINK,7549055.55,1734369.43
KZ01,CREAM DETERGENT,7542055.49,1816548.66
KZ01,"BABY LOTION, OIL & CREAM",7482845.92,2021620.96
KZ01,MEN BODY SPRAY,7368773.54,2028551.74
KZ01,STOCK SOUP,7361273.89,1735335.23
KZ01,"SALVE, BALM, CREAM & LIQ MEDICINE",7281454.79,1769386.43
KZ01,JELLY & PUDDING,7247099.61,2289995.93
KZ01,CANNED MEAT,7237009.39,1557518.30
KZ01,BULKY EGG,7202403.10,1166838.69
KZ01,CANNED SEAFOOD,7047600.18,1463761.94
KZ01,KIDS VITAMINS,6850636.97,1765697.19
KZ01,MEN COLOGNE,6821764.15,1847413.64
KZ01,ZINC CARBON,6816545.76,1631011.31
KZ01,FACIAL CLEANSER TONIC,6806637.28,1877205.38
KZ01,FEMININ HYGIENE,6726909.09,1817037.92
KZ01,MAIL MATERIAL,6719300.14,1513664.41
KZ01,PACK EGG (KAMPUNG),6642400.0,1965124.36
KZ01,ELECTRIC INSECTICIDES,6559363.68,1511931.29
KZ01,PROCESSED MEAT,6496399.73,1826271.44
KZ01,OFFICE SUPPLY,6457863.38,2986221.59
KZ01,REGULAR DIAPERS,6337363.34,1129962.22
KZ01,PROCESSED PUDDING,6313818.11,1512682.65
KZ01,CHICKEN NUGGET,6088818.29,1755837.14
KZ01,BABY TALCUM POWDER,6006636.31,1911756.56
KZ01,LUBRICANT & UPKEEP,5995908.99,965797.29
KZ01,LIQUID SAUCE & VINEGAR,5965727.91,1199964.78
KZ01,CHOCOLATE SPREAD,5932000.49,1097326.36
KZ01,TOOTH BRUSH KIDS,5906818.60,1886984.23
KZ01,CAKE,5860453.55,1621308.56
KZ01,BABY LIQUID CLEANSER,5782727.41,1326689.01
KZ01,KIDS SHAMPOO,5723199.75,1530779.99
KZ01,POWDER JELLY,5660454.86,1346159.13
KZ01,CLEANSER,5582727.36,1336926.50
KZ01,DIETATIC SUGAR,5569000.06,1085022.06
KZ01,MEAL MAKER,5515172.34,1318191.29
KZ01,DIARRHEA & CONSTIPATION,5509272.47,1496655.31
KZ01,SOFT CAKE,5454091.25,1445638.47
KZ01,REGULER COTTON BUD,5407494.18,2289995.31
KZ01,INSTANT RICE NOODLE,5336637.07,1223507.51
KZ01,CAR AIR FRESHENER,5320000.39,1879594.08
KZ01,BULBS,5294090.83,1067623.49
KZ01,ANTACIDS,5291364.19,1140708.81
KZ01,"NURSING, BOTTLE & PACIFIER",5136636.52,1309792.48
KZ01,BABY COTTON,5112635.33,2819527.22
KZ01,MATIC LIQUID DETERGENT,5111045.47,660408.54
KZ01,"LIGHTER, MATCHES & PAPER",5020807.31,1607321.65
KZ01,STATIONARY,5008636.98,1925146.51
KZ01,DRESSING,4944728.33,1034981.30
KZ01,PREPARED NOODLE,4933908.74,1095293.62
KZ01,SNACK FAST FOOD,4807271.88,1446993.44
KZ01,TRADITIONAL DRINK,4766272.42,1414149.28
KZ01,MARSHMALLOW,4728181.80,1283536.49
KZ01,EYE,4662636.22,1309439.52
KZ01,POCKET CHEWING GUM,4608280.66,1431811.10
KZ01,KIDS LIQUID SOAP,4542636.16,1168073.97
KZ01,TOWEL,4514593.99,1073464.68
KZ01,E-CARD,4461817.78,437494.85
KZ01,ANALGESIC & COLD REMEDIES,4179971.94,912232.23
KZ01,TONIC MILK,4034363.80,271160.05
KZ01,HAIR MASK,3929910.26,955551.91
KZ01,SALT,3884100.08,1631641.68
KZ01,SPECIALTY LIQUID MILK,3533636.47,679057.57
KZ01,SYRUP,3483136.63,678431.43
KZ01,DIABETIC MILK,3477454.65,245190.01
KZ01,COLD DRINK,3422272.74,1952628.53
KZ01,COMPACT POWDER,3400636.59,916954.78
KZ01,PLANT BASED LIQUID MILK,3303726.54,910440.76
KZ01,POWDER CREAMER & CHOCOLATE DRINK,3292908.86,641471.49
KZ01,BAKERY OVEN,3284545.67,1232746.89
KZ01,SUNSCREEN,3141454.88,721543.57
KZ01,WOMEN BODY SPRAY,3069091.41,849505.64
KZ01,TOOTH CARE PACK,3067673.26,836081.83
KZ01,SERUM ESSENCE,3066454.76,698939.67
KZ01,LEAF TEA,3058837.04,791101.33
KZ01,BABY COLOGNE,3014090.99,839752.43
KZ01,LADIES PANTY,3014000.17,1368234.97
KZ01,YOGHURT BEVERAGE,2982636.42,733598.99
KZ01,KIDS COLOGNE,2946181.88,867435.77
KZ01,EYE DROPS,2904727.08,604208.60
KZ01,PARTY ACCESSORIES,2827000.10,1333960.78
KZ01,TOOTH PASTE KIDS,2792554.88,916629.61
KZ01,SELF BREWING,2755635.97,1490799.58
KZ01,PIE BISCUIT,2699909.11,734210.89
KZ01,BABY EQUIPMENT,2617272.88,643028.00
KZ01,MSG ( MONO SODIUM GLUTAMATE ),2587271.35,504524.84
KZ01,SELF POURING,2579873.00,1210939.12
KZ01,SEED & BEAN,2532727.37,717473.43
KZ01,BABY BAR SOAP,2523091.11,861754.99
KZ01,OTHER COOKING OIL,2512363.56,193535.34
KZ01,PUDDING,2507000.10,873658.72
KZ01,BOTTLE CHEWING GUM,2502818.39,681234.09
KZ01,PACK EGG (NEGERI),2501300.99,662399.37
KZ01,ELECTRICAL & INSTALLATION SUPPORT,2454090.82,858211.16
KZ01,MEN SANDALS,2442727.42,793832.05
KZ01,HOUSE HOLD TISSUE,2375454.55,653317.70
KZ01,CLEANING KIT,2101545.77,696836.05
KZ01,LOCAL FRUIT,2082800.0,459517.99
KZ01,DIETATIC BEVERAGE,2076818.38,405933.66
KZ01,LOTION INSECTICIDES,2043545.25,531458.64
KZ01,MERCHANDISE GOODS,2012693.94,818526.62
KZ01,INSTANT PORRIDGE,1962564.29,565213.71
KZ01,DRIED MEAT,1953363.67,662693.18
KZ01,FOLLOW ON MILK SUPER PREMIUM,1874545.47,43091.73
KZ01,FACIAL CLEANSER MILK,1849455.69,455124.32
KZ01,MATIC POWDER DETERGENT,1818181.76,254754.90
KZ01,KIDS COUGH MEDICINE,1772091.17,375569.39
KZ01,REFILL RAZOR,1763727.61,467448.12
KZ01,BATHROOM ACCESSORIES,1703454.74,972248.84
KZ01,EMBALASI,1639547.19,97740.97
KZ01,MEN DEO SPRAY,1621363.71,433466.72
KZ01,FUNGICIDES,1610818.14,384895.96
KZ01,GLASS CLEANER,1604818.60,557329.94
KZ01,READY MEAL,1580000.03,579878.74
KZ01,HAIR ACCESSORIES,1564545.53,516945.65
KZ01,INFANT MILK SUPER PREMIUM,1550090.94,33378.83
KZ01,BABY SHAMPOO,1542091.07,407444.06
KZ01,SHOES CLEANER,1448363.57,369314.31
KZ01,COLOURING & FLAVOURING,1413363.58,334301.76
KZ01,INSTANT TEA,1400136.17,329983.10
KZ01,"SHRIMP PASTE, PEANUT SAUCE AND OTHER",1393272.58,304752.89
KZ01,FRESH MILK,1373572.74,275089.89
KZ01,MARKETING EQUIPMENT ALFA-X,1347909.21,1077966.89
KZ01,DELIVERY BAKERY OVEN,1299545.46,476422.69
KZ01,TALCUM POWDER,1254908.98,388048.88
KZ01,COIL INSECTICIDES,1249817.96,364923.73
KZ01,IMPORTED FRUIT,1237900.0,333587.26
KZ01,FOUNDATION,1237545.44,353515.30
KZ01,ANTI ACNE,1231909.26,317317.32
KZ01,ADHESIVE TAPE & GLUE,1191363.77,444449.33
KZ01,HOT DRINK,1163181.79,745658.45
KZ01,MENS SOCK,1100545.32,566568.00
KZ01,SPICES,1094727.78,156665.64
KZ01,PIN & SCISSORS NAIL,1092272.83,406061.44
KZ01,COMB,1084636.38,432174.03
KZ01,BUILDING HARDWARE,1082818.20,435453.31
KZ01,INSTANT PROCESS FOOD,1026818.00,217170.39
KZ01,LIQUID INSECTICIDES,1025454.47,195985.01
KZ01,SQUASH,1025000.25,162403.85
KZ01,PROCESSED FRUIT,979000.0,318616.21
KZ01,MEN SOAP,904272.71,231337.18
KZ01,KITCHEN ARRANGEMENT,894999.91,495128.05
KZ01,DIETATIC MILK,893181.78,80154.18
KZ01,STICKER & ALBUM,872636.40,289776.93
KZ01,PAPER PRODUCT,839090.96,290249.36
KZ01,ACCESSORIES TRAVEL,830363.63,211099.86
KZ01,BROILER,782800.0,211438.11
KZ01,BAG CHEWING GUM,730363.77,236009.64
KZ01,ESSENCE,717091.00,146674.49
KZ01,RAZOR,716727.24,205015.90
KZ01,GAMES & ACCESSORIES,675636.51,402035.98
KZ01,BEAUTY ACCESSORIES,671454.58,279188.17
KZ01,POWDER DRINK,658181.83,199437.17
KZ01,INSTANT SOUP,561272.67,138614.90
KZ01,LADIES SANDALS,556363.68,174648.14
KZ01,ATHELMINTICS,536363.59,106383.10
KZ01,CAN & BOTTLE CANDY,529999.85,175637.42
KZ01,BAKING POWDER,500727.08,89349.53
KZ01,ONIGIRI & SUSHI,472727.32,160727.32
KZ01,CLOTHING ACCESSORIES,429545.50,203889.53
KZ01,KIDS HAIR VITAMIN,420000.0,120899.13
KZ01,STEAMED FOOD,384999.99,139691.09
KZ01,MEAT BALLS,367090.95,118421.42
KZ01,FRIED FOOD,329090.90,109297.20
KZ01,WRITING BOOK,316818.24,143349.85
KZ01,BAKERY NON OVEN,299091.02,91644.23
KZ01,UMBRELLA,272272.75,72951.65
KZ01,VEGETABLE,218181.83,60540.67
KZ01,COLOURING BOOK,207636.37,71334.23
KZ01,KITCHEN CLEANER,206818.17,53269.36
KZ01,RAW MATERIAL FOOD,200545.47,59927.99
KZ01,SEAFOOD,185818.20,59705.02
KZ01,BABIES & CHILDREN SOCK,155545.47,48603.22
KZ01,SPECIALKU,154454.55,8400.95
KZ01,TORCHES & EMERGENCY LAMP,149545.45,31249.90
KZ01,HAIR ACCESSORIES IMPORT,117000.0,37182.96
KZ01,COMPLIMENTARY FOOD,89545.45,40345.45
KZ01,DRAWING BOOK,77000.0,29174.70
KZ01,PROMOTION GOODS,63416.0,-153.30
KZ01,DELIVERY SNACK,50363.63,20194.83
KZ01,ODEN,45454.55,21314.07
KZ01,GRAB & GO BISCUIT,31636.36,8787.28
KZ01,RAW MATERIAL DRINK,28181.83,9790.93
KZ01,RAMEN,22727.27,10227.27
KZ01,DELIVERY DESSERT,20000.0,9090.9
KZ01,DELIVERY COLD DRINK,15454.55,13001.5
KZ01,COMPLIMENTARY DRINK,14545.46,7488.09
KZ01,HAND TOOLS,14090.91,5340.91
KZ01,SIM CARD,8864.63,7271.77
KZ01,GIFT CARD,171.0,56.90
KZ01,MARKETING EQUIPMENT PROMOTION,42.0,0.0
KZ01,MARKETING EQUIPMENT RENTAL,30.0,0.0
KZ01,AKU CARD,20.02,0.0
KZ01,MARKETING EQUIPMENT SUPPORT,19.0,0.0
KZ01,MARKETING EQUIPMENT REGULER,6.0,0.0
